,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
cik,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605,0001318605
fillingDate,2023-01-31,2022-02-07,2021-02-08,2020-02-13,2019-02-19,2018-02-23,2017-03-01,2016-02-24,2015-02-26,2014-02-26,2013-03-07,2012-02-27,2011-03-03,2009-12-31,2008-12-31,2007-12-31
acceptedDate,2023-01-30 21:29:15,2022-02-04 20:11:27,2021-02-08 07:27:23,2020-02-13 07:12:18,2019-02-19 06:10:16,2018-02-23 06:07:43,2017-03-01 16:54:21,2016-02-24 16:17:56,2015-02-26 17:13:26,2014-02-26 16:02:51,2013-03-07 17:10:43,2012-02-27 17:17:24,2011-03-03 14:47:36,2009-12-30 19:00:00,2008-12-30 19:00:00,2007-12-30 19:00:00
calendarYear,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
cashAndCashEquivalents,16253000000,17576000000,19384000000,6268000000,3685618000,3367914000,3393216000,1196908000,1905713000,845889000,201890000,255266000,99558000,69627000,9277000,17211000
shortTermInvestments,5932000000,131000000,0,0,0,0,0,0,0,0,0,25061000,0,0,0,0
cashAndShortTermInvestments,22185000000,17707000000,19384000000,6268000000,3685618000,3367914000,3393216000,1196908000,1905713000,845889000,201890000,280327000,99558000,69627000,9277000,17211000
netReceivables,2952000000,1913000000,1886000000,1324000000,949022000,515381000,499142000,168965000,226604000,49109000,26842000,9539000,6710000,3488000,3320000,59000
inventory,12839000000,5757000000,4101000000,3552000000,3113446000,2263537000,2067454000,1277838000,953675000,340355000,268504000,50082000,45182000,23222000,16650000,2108000
otherCurrentAssets,2941000000,1723000000,1346000000,959000000,558222000,423688000,299984000,147857000,112665000,30586000,27532000,32890000,84436000,4222000,2180000,2930000
totalCurrentAssets,40917000000,27100000000,26717000000,12103000000,8306308000,6570520000,6259796000,2791568000,3198657000,1265939000,524768000,372838000,235886000,100559000,31427000,22308000
propertyPlantEquipmentNet,36635000000,31176000000,23375000000,20199000000,19691231000,20491616000,15036917000,5194737000,2596011000,1120919000,562300000,310171000,122599000,23535000,18793000,11998000
goodwill,194000000,200000000,207000000,198000000,68159000,60237000,0,0,0,0,0,0,0,0,0,0
intangibleAssets,399000000,1517000000,313000000,339000000,282492000,361502000,376145000,0,0,13930000,14267000,0,0,0,0,0
goodwillAndIntangibleAssets,593000000,1717000000,520000000,537000000,350651000,421739000,376145000,0,0,13930000,14267000,0,0,0,0,0
longTermInvestments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxAssets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherNonCurrentAssets,4193000000,2138000000,1536000000,1470000000,1391424000,1171497000,991218000,106155000,54583000,16142000,12854000,30439000,27597000,6330000,1479000,531000
totalNonCurrentAssets,41421000000,35031000000,25431000000,22206000000,21433306000,22084852000,16404280000,5300892000,2650594000,1150991000,589421000,340610000,150196000,29865000,20272000,12529000
otherAssets,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
totalAssets,82338000000,62131000000,52148000000,34309000000,29739614000,28655372000,22664076000,8092460000,5849251000,2416930000,1114190000,713448000,386082000,130424000,51699000,34837000
accountPayables,15255000000,10025000000,6051000000,3771000000,3404451000,2390250000,1860341000,916148000,777946000,303969000,303382000,56141000,28951000,15086000,14184000,5369000
shortTermDebt,1502000000,1957000000,2418000000,2070000000,2711199000,963862000,1202178000,633166000,632128000,7904000,55206000,8983000,279000,290000,341000,80000
taxPayables,0,1122000000,777000000,611000000,348663000,185807000,152897000,101206000,71229000,38067000,9710000,967000,2674000,0,0,0
deferredRevenue,2810000000,2372000000,2210000000,1889000000,1422893000,1869172000,1426985000,707331000,449238000,255035000,140722000,2345000,4635000,1377000,4073000,0
otherCurrentLiabilities,7142000000,4229000000,2792000000,2326000000,2104930000,2265579000,1184604000,458423000,176625000,70185000,30088000,122903000,49026000,40736000,69337000,45847000
totalCurrentLiabilities,26709000000,19705000000,14248000000,10667000000,9992136000,7674670000,5827005000,2816274000,2107166000,675160000,539108000,191339000,85565000,57489000,87935000,51296000
longTermDebt,1597000000,6916000000,10861000000,12627000000,11116072000,11152086000,7385937000,2082420000,1876981000,598974000,411460000,271165000,72324000,800000,55416000,18000
deferredRevenueNonCurrent,2804000000,2052000000,1284000000,1207000000,990873000,1177799000,851790000,446105000,292271000,181180000,3060000,3146000,2783000,1240000,0,0
deferredTaxLiabilitiesNonCurrent,0,24000000,151000000,0,0,0,0,0,0,6821000,0,0,0,0,0,0
otherNonCurrentLiabilities,6115000000,1851000000,1925000000,1698000000,1326929000,3018495000,2694219000,1658717000,661123000,287675000,35862000,23753000,18362000,324418000,108062000,101369000
