,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
revenuePerShare,27.539553752535497,18.19574036511156,10.95,9.257250470809792,8.390272394077115,4.729284458869758,3.236037685259664,2.103984337217828,1.7116368180370813,1.1240323449532885,0.2566432849863529,0.13563396812018683,0.15345413837658314
netIncomePerShare,4.253887762001352,1.8657876943881,0.23958333333333334,-0.32467043314500943,-0.38160230660216,-0.7888608694602975,-0.31200085059958027,-0.4621160356312694,-0.15735887123748057,-0.041318249442448704,-0.24605911559492868,-0.16895042872389054,-0.20285642317704827
operatingCashFlowPerShare,4.9776876267748476,3.8867478025693036,2.0635416666666666,0.9058380414312618,0.8201346821091726,-0.02439459935568721,-0.05724396490352167,-0.2727461350056941,-0.03068455176215285,0.14402492024015875,-0.16524358245846102,-0.07594737189264229,-0.16800904204823996
freeCashFlowPerShare,2.553076402974983,1.1774847870182557,0.9378472222222223,0.36459510357815444,-0.08667898157650393,-1.6658856083366513,-0.7231483279246295,-1.122888878488635,-0.5497296096800002,-0.0034778919397202616,-0.3138107170692477,-0.207367059102484,-0.22085387112000188
cashPerShare,7.5,5.986139283299527,6.730555555555555,2.360828625235405,1.4408905830034697,1.3545506099253128,1.5686239702659972,0.6224073467392605,1.019864122509158,0.4722167792934241,0.1253792148351017,0.18616084537571906,0.13086400250544666
bookValuePerShare,15.11291413116971,10.205882352941176,7.717013888888889,2.4926553672316385,1.924739481014514,1.7041880331567707,2.1971870117142354,0.5662646968586034,0.48791204086492795,0.37241914459489256,0.07744211248668673,0.1487848355748928,0.27215422156680247
tangibleBookValuePerShare,15.316091954022989,10.096686950642326,8.041319444444444,2.8523540489642185,2.331213605043249,2.0956587314036126,2.5559500365203083,0.5662646968586034,0.48791204086492795,0.3646427345274282,0.06858191506208722,0.1487848355748928,0.27215422156680247
shareholdersEquityPerShare,15.11291413116971,10.205882352941176,7.717013888888889,2.4926553672316385,1.924739481014514,1.7041880331567707,2.1971870117142354,0.5662646968586034,0.48791204086492795,0.37241914459489256,0.07744211248668673,0.1487848355748928,0.27215422156680247
interestDebtPerShare,2.0077755240027044,3.1250845165652468,4.870486111111111,5.793596986817326,5.664992229878317,5.062483459822955,4.06204060688431,1.473943204214183,1.3967686951961233,0.35717447796730334,0.28997009753234776,0.18607052986928874,0.09673693991832245
marketCap,492980280000,834501106014.6,761788828223.9999,113423375664,52653005614.2,57322431145.604996,36143856011.604004,24512222848.706997,25363061803.416,21834935042.895,4027733943.2549996,2968496757.605925,1217746684.61151
enterpriseValue,482475280000,825798106014.6,755683828223.9999,121852375664,62794658614.2,66070465145.604996,41338755011.604004,26030900848.706997,25966457803.416,21595924042.895,4292509943.2549996,2993378757.605925,1190791684.61151
peRatio,39.17827862989748,151.20512883033157,1104.0417800347825,-131.58164230162413,-53.94272215828237,-29.225263151628937,-53.553276434633155,-27.58326030081932,-86.2571820276697,-295.0108769002486,-10.165577462766239,-11.668114812668968,-7.890639965602547
priceToSalesRatio,6.051659424025926,15.504544637322335,24.15616527853881,4.614833414598421,2.453396771066835,4.874874138044508,5.1633106363714285,6.058346858634586,7.9300308669253825,10.844290250834867,9.746341113631743,14.53421312759337,10.430914519046032
pocfratio,33.481409942950286,72.5842485878577,128.18253882281675,47.16148676257796,25.09913023926948,-945.0725615063309,-291.8852289173295,-46.73454639323812,-442.3506950732685,84.6334993949278,-15.137247466955552,-25.9565663810808,-9.5272669880494
pfcfRatio,65.2781091101695,239.5926230303187,282.0395513602369,117.17290874380166,-237.48164578781672,-13.83928547352033,-23.105450368601932,-11.351672586833809,-24.690925431324484,-3504.804982808186,-7.9708335756042334,-9.50649060912677,-7.247629357287883
pbRatio,11.02765479599141,27.642555434582135,34.27621274348706,17.13861826291931,10.69478098363213,13.528241045851287,7.604572442363008,22.51008577916495,27.819220808607998,32.73014606501829,32.299390082237366,13.249555926737598,5.881470405951808
ptbRatio,11.02765479599141,27.642555434582135,34.27621274348706,17.13861826291931,10.69478098363213,13.528241045851287,7.604572442363008,22.51008577916495,27.819220808607998,32.73014606501829,32.299390082237366,13.249555926737598,5.881470405951808
evToSales,5.922703591858781,15.342847964896048,23.962576998477925,4.957782393359915,2.9259528660748284,5.618833594282675,5.905425070784951,6.433697480541271,8.118689040061831,10.725585768680444,10.387048084613411,14.65603919666829,10.200024708863069
enterpriseValueOverEBITDA,27.055194302697245,86.03856074334236,186.4965025231984,58.38638028941064,38.1529361814776,372.4210021284553,83.06075233447929,-77.89415035686135,538.9356344495964,319.508870158675,-11.696276119365772,-12.632422170855525,-8.35408786734608
evToOperatingCashFlow,32.76794892692203,71.82726850609724,127.1552798626956,50.666268467359664,29.933548835495436,-1089.3010377815972,-333.83742912891165,-49.630029511413746,-452.87437088469926,83.70707862545254,-16.132342945400083,-26.174134846681866,-9.316379547411612
evToFreeCashFlow,63.88708686440678,237.09391501998277,279.7792773876342,125.88055337190083,-283.2236963574695,-15.951312780082752,-26.426360040659723,-12.054976221401448,-25.278331074895203,-3466.4404563234352,-8.494821867916462,-9.586174206129268,-7.08720202720813
earningsYield,0.025524347545909952,0.00661353227721599,0.0009057628235486662,-0.007599844343846261,-0.01853818198246897,-0.0342169716252585,-0.018672993821780347,-0.036253872424584145,-0.011593237530982854,-0.003389705527156302,-0.0983711947169484,-0.08570364759474454,-0.12673243290268885
freeCashFlowYield,0.015319071180697126,0.004173751208831907,0.0035456020092825323,0.008534395968495569,-0.00421085173417348,-0.07225806577322,-0.04327983155692577,-0.08809274513077887,-0.04050070957370177,-0.00028532257997383953,-0.12545739294578037,-0.10519128889055476,-0.1379761506422022
debtToEquity,0.08413117394416607,0.22909006591804962,0.48868391451068616,1.9079782411604715,2.2578759569657643,2.6319209523553293,1.5539817598099355,1.9123297433109507,2.0587478474514924,0.8978504616860535,3.299599037690457,1.2103148920975697,0.3493103048568448
debtToAssets,0.4425660084043819,0.49167082454813216,0.5459269770652757,0.7636188755137137,0.7877039022766066,0.8034462089691246,0.7394500000794209,0.8654372094517613,0.8441321803424062,0.7239804214437323,0.8880801299598812,0.685968704096164,0.4637201423531789
